player,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
Callmewhz,-7.354699077733344,66.12221705335566,-3.38768672839618,28.77102168306423,2.796709500466384,42.84898669299792,81.10501671931094,-0.4304950745039399,-19.5869847400377,8.780641503043439,-8.598959067426014,9.43836389178242,-24.91128452511104,-1.5327487381071958,-23.548741897372352,12.499344163587278,12.642270961894557,23.52064988296792,-10.165370564801645,8.375785518652394,3.017647213110603,0.3968595279560007,-4.110915655708616,24.167494893485816,4.57809407853782,2.688022072296224,7.138288531545933,1.5891279328885397,8.48762950477769,1.9682696527609016,0.4304411374903125,4.403732282410761,-8.184697890670742,-8.488200405290405,-9.955394749182306,2.1631622463125124,-10.507757156030523,2.921176045532871,-2.820811737509435,-1.6433411735278898,3.3545344351625537,-6.310304730329402,-4.248248549904415,-11.128760019106108,1.923589510484568,-4.485706795233273,2.5954061164298463,-9.21314776537854,5.632815149092758,-7.929817246096343
Anti_Eclipse,0.5091639276224673,8.151004888444088,0.2259399637730429,-2.985432061676253,-13.680776748188524,-3.5834014647713053,1.2458437240858882,-12.710068916724266,-10.699627798739444,-3.3419198782268635,2.84207958928529,-5.942900883088787,-2.412967623514348,-4.718164139165904,-0.850906833353151,-5.4258259895635605,-0.3574598323343915,-6.602198950961083,3.3689116276059217,-6.903846191128064,1.8150224872412777,-0.5437239640541222,-5.020426175682959,-2.6933039454041707,7.087925404688529,-1.9469559698207093,1.4794628446067886,-0.2939850478853585,5.013049401064568,-1.9445471914583372,-0.6563422084922547,0.3305613449466793,4.544335489579263,3.0818726379884414,0.4475384492568434,1.6578819487334455,-3.8244332921863,-2.5938870576458157,-3.2387515434306358,1.9538845150894228,-6.230773570586378,3.025429804044523,2.236150625028752,-2.449929866604782,0.8758601059613068,-5.559894608967262,-0.6120320170282925,5.078376918720063,-7.585880147442193,-7.275376233845076
Donktuss,-4.576046938399971,10.398861252045252,0.7727795225913715,-6.206769743232604,10.697555069931584,-15.122862036420566,2.3399132681468013,0.2673452668389645,7.455512435853224,3.319458905415966,-4.491507102399436,-1.0876146336651509,-2.824404686327884,5.689467050885654,2.643568284353604,-2.619070684478312,-0.1322869188850772,-1.5766152633679902,-10.216072140042144,10.806066017597631,2.4183804000642435,-7.398739469330746,-9.583857647824702,10.567788617874823,-2.139630964902063,-7.001229471026706,4.649883494563917,-3.474159206338216,5.89873206370542,10.70369730060788,8.470658490699968,-5.411754421073447,1.5476409575569177,-3.051665262726785,4.908186275868891,-3.1706836597348773,2.7981737620463307,18.634434291178067,-17.124124508993635,10.93767712364824,-4.28575045393,-0.42995489988022,9.38425235371098,13.65405178083725,-5.814531651045095,17.22763435536982,-8.952558737064795,-6.988302825605664,-14.826703609779669,-2.6289855172790526
Sinuhstr,-25.07348818538981,19.397827450707723,22.72732112048021,-5.450027800025067,21.38177058588032,2.262736737380591,-19.23911364902512,-8.795840690110191,8.476033369591955,-13.968487845189276,8.196442804877725,-11.904542905628643,-9.633715255378323,2.0929158116076727,6.353164597406388,1.0728185640720325,1.6237362228904524,-7.2157899190537185,-2.7142596943924846,3.3309246038079845,5.846299026201591,-7.503727472642231,9.93044007711587,1.283056367650397,-1.9589412133189228,-4.033444579703826,11.715699087572704,3.7261659367037954,5.5064748298760176,6.408523551416296,-3.238565045232714,-15.710424795276102,11.07851896622566,0.3370637009227918,-12.188902443067374,-8.866440899200141,0.7157863609856072,-3.928342684648186,-2.374200166283581,-9.726715402898458,6.9956731897641165,11.96187229210326,-11.379636562282002,-13.363484663113812,-10.829536676170775,-4.687375657707602,2.5121706292599715,-10.48294436637678,-3.712235503061727,-2.850229191213594
tnrp,25.27575513157818,65.30423090577233,-7.204786039893129,83.98366344312176,-10.362824931181407,-34.32820761853287,-25.779524565130306,15.394501885779206,31.540318791419026,-35.596295447443254,-3.5439429391783706,-20.23172612402023,-23.922938958171684,-19.972136875576066,1.4326031049389207,-25.073412081298784,21.30788934086088,-33.084422909790675,3.904366098597402,17.58998673408668,12.605379353110909,2.4909040618980125,-5.342345673345037,-8.360334059971269,8.549803224565322,5.184350382612641,-26.163196984868843,10.550964940754255,9.205172594044752,-4.092982764079243,-3.1559961806649244,15.029411130112363,-17.59990404835874,1.037203073059221,-5.480622077441936,1.481938400334732,-9.243605354357898,0.947076837818042,16.73885893125253,14.484304757927749,-6.282622135791217,-31.862503616724048,18.10867126373781,14.423560505881673,8.584704110963056,9.832036289917085,-19.234410500357107,6.397524277483856,12.13331854166389,-3.867361090533782
speedis69,-23.492699389510665,-15.948384265423687,-6.731264195652761,30.263801218867744,32.32908324386753,-1.1424678631831726,-12.56703241861604,16.115811600383065,17.656570003579006,24.54974002410619,3.9089270850311153,6.400415109899004,19.421762760359144,29.232879307588384,-15.003138404756326,7.394730919682045,-9.524302504005178,-22.69798413646981,-11.085278990366778,2.248566260531782,20.213576815951548,2.698106964068152,-3.532281003422489,-0.7066150653669554,11.178811217718376,1.7472393442893577,14.898279108051456,39.95736838686472,8.451009167429167,27.196823750534843,13.540099849282887,-32.25259467995757,4.120487819788442,-3.6088555105132456,-24.044982211872163,-21.23208832823857,17.03350118214366,31.02892630846738,6.531752171175226,-19.24853634331995,-14.006282507340297,-6.223772180353846,9.48363669257806,-20.2987616638507,20.379573163119424,9.007511459419632,-20.756299355179163,-11.28508916031202,-19.805937972553405,-9.863941893228048
SimpleSmallBuild,21.903368842998347,-14.860262472849096,-9.970261050871514,-19.662855400763767,-30.45346939041733,2.7220188889359878,2.670870151277269,3.5753179819941496,-4.150554039392894,-3.803539726808857,7.830160604464433,-12.51736435224968,10.172970321522213,29.897370909482568,-13.665911688121032,-4.855226593373635,-14.929645053657495,40.84945051050964,33.91059477717057,-12.359040472539617,-2.4849608929208515,-43.229023368742496,52.876990949088935,6.655865847297933,-10.479710613529754,-0.3898703053057089,-45.92123319674012,8.78669765191511,5.5957993183740005,15.25372240250988,12.105698013925178,27.31529253588721,0.4728366874798654,-6.591738186415794,-9.466287558923574,1.6844502554867942,10.345281988108413,16.39877749739125,-19.61599422627541,24.521710798227417,9.827127651277948,-20.0296434257345,4.3951072704620655,-0.1419067849636145,-1.2028687310737098,-4.093948255253197,-5.47297839328607,-4.846425641293511,-7.081012516400917,-5.7917712509616015
PappyVanPoodle,31.794143474238407,-16.655279846756976,-6.707134249359094,-17.531194177365194,-8.587498270803795,1.880929307933574,2.4450018845754826,16.63592032513453,23.54960284125079,13.85837423416054,8.80240868163222,-6.87185650976441,-0.9565360982434336,0.3507919921111956,6.042031793920402,-1.3328421624968898,3.097637387535189,14.724577120287814,8.510185605231298,-5.329120619312349,7.59992381964421,6.033216124582718,0.4652095488049496,1.749954045640155,1.3964664340102928,8.127320344984328,2.284266748512273,-6.285429330296868,2.746771169783136,-0.544751410165721,0.0132927450534467,-2.01313492386111,-3.948020202054849,-3.5451496758517305,9.025711644602833,-1.2203894460081677,-4.993150427748868,1.97552665679925,10.082130703977308,-4.631895037144616,7.678655796008203,0.9297461152819948,10.150843306187808,-2.040963007959508,0.6369177345571332,5.662985615592009,10.874513954429403,4.921660264033753,4.337203395298642,-4.614290172608334
nikefan14696,23.45970999797608,-39.38429249004069,-8.035751241092132,24.544685072264198,57.40000291983269,-18.562074248314836,-18.60408226196355,17.36270615746126,-8.086352546970065,-6.816625111524624,-15.81568100536013,13.994159577334282,-41.66343494091335,11.809377486439203,48.06327271493909,17.850780384725145,0.2424927859275436,31.778336004045443,43.48998266815974,-26.190831891783063,16.90786245563847,5.9676767342398245,-23.6839659602686,4.03416387474979,5.559254089354877,11.480944502542542,27.02926187370624,-37.03419808789619,-33.63165753246714,-52.5204058884668,41.03430540046595,53.00018728671324,32.052914143687964,-42.41938343956205,-8.048400808348077,-49.49770067130276,-22.862111400994497,9.286355241608245,-53.60097797850767,-3.845019800753833,16.93218103901132,-24.3413120166059,5.705998092756047,-43.08273500625049,4.650174934570961,-11.0804856139715,-3.8686178761936345,11.72075898059098,-0.9616238320826505,-4.683843889495796
Louis_18092013,-20.834405335113203,19.660205961607677,10.921618482016616,35.032563935714684,9.288115706014564,58.43641425609009,98.9639132646722,19.63609905862768,0.4904916674321197,13.18167041515561,-20.65134494381356,12.5252256066595,-14.242031195033622,-5.728503865904516,21.231903965722253,-4.500178995303146,2.5179088519579578,-2.8227658056066787,-14.935781556677046,-13.82539669740008,3.928898897028075,-12.00816364367554,0.7839550860328446,-4.3656453020389625,12.805938685040184,-5.159166944588121,1.0204879141491532,4.391649696358366,2.4568489446477684,7.842028960431512,-2.071907457318236,-3.745415809044111,4.516649847882035,-12.612934410380667,-8.72506924008787,6.640688892323306,-2.957603653060885,-1.292313302196321,8.987960880812397,-10.698010365968385,-9.661685178709318,17.41942384243389,8.51492339118737,15.363951033654468,1.0753128721762857,-28.71265515154983,12.623267853968787,-5.783915507714927,4.802928094646647,-24.858650188037952
